order_index,run_key,phase,repeat_index,workload_mode,num_requests,strategy,num_slots,launch_status,benchmark_id,label,final_status,completed,total_requests,avg_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps,cache_hit_rate,avg_queue_wait,started_at_ms,finished_at_ms,elapsed_wall_seconds,launch_requested_strategy,launch_requested_slots,launch_effective_strategy,launch_effective_slots,launch_worker_phase,prelaunch_pending_queue,postrun_pending_queue,result_json
1,001_experiment_a_parallel4_unique_sequential_1slots_r01,experiment_a_parallel4,1,unique,100,sequential,1,RUNNING,48f5676c-1446-406a-a868-6ca4d89f77d5,unique_sequential_1slots,COMPLETED,100,100,150026.87,124083.0,347986.0,370745.0,0.2651183753545958,0.0,146260.37,1776136394033,1776136771706,379.575,sequential,1,sequential,1,RUNNING,0,0,experiment_results/expa_parallel4_20260414T031310Z/runs/001_experiment_a_parallel4_unique_sequential_1slots_r01.json
2,002_experiment_a_parallel4_unique_static_8slots_r01,experiment_a_parallel4,1,unique,100,static,8,RUNNING,e20770dd-f8bb-4047-81b6-928e2ddceebc,unique_static_8slots,COMPLETED,100,100,89890.38,75237.0,208273.0,225652.0,0.4418522446094026,0.0,77463.21,1776136776857,1776137003811,229.169,static,8,static,8,RUNNING,0,0,experiment_results/expa_parallel4_20260414T031310Z/runs/002_experiment_a_parallel4_unique_static_8slots_r01.json
3,003_experiment_a_parallel4_unique_continuous_8slots_r01,experiment_a_parallel4,1,unique,100,continuous,8,RUNNING,2c10f08c-d311-499e-9407-9d712fbb84bb,unique_continuous_8slots,COMPLETED,100,100,93382.11,74374.0,236632.0,256382.0,0.3857042574035932,0.0,73694.96,1776137008287,1776137267623,260.459,continuous,8,continuous,8,RUNNING,0,0,experiment_results/expa_parallel4_20260414T031310Z/runs/003_experiment_a_parallel4_unique_continuous_8slots_r01.json
4,004_experiment_a_parallel4_unique_cached_8slots_r01,experiment_a_parallel4,1,unique,100,cached,8,RUNNING,67a27313-01b9-414f-8016-0e778f3c6cc7,unique_cached_8slots,COMPLETED,100,100,99085.3,80774.0,232364.0,249569.0,0.39892449954921533,0.0,80008.82,1776137272040,1776137523217,252.642,cached,8,cached,8,RUNNING,0,0,experiment_results/expa_parallel4_20260414T031310Z/runs/004_experiment_a_parallel4_unique_cached_8slots_r01.json
5,005_experiment_a_parallel4_unique_sequential_1slots_r02,experiment_a_parallel4,2,unique,100,sequential,1,RUNNING,e93c4afc-9977-4268-bee3-e96e733aa7c9,unique_sequential_1slots,COMPLETED,100,100,186166.54,153647.0,436728.0,459887.0,0.21513704229594252,0.0,181524.0,1776137527467,1776137992412,467.69,sequential,1,sequential,1,RUNNING,0,0,experiment_results/expa_parallel4_20260414T031310Z/runs/005_experiment_a_parallel4_unique_sequential_1slots_r02.json
6,006_experiment_a_parallel4_unique_static_8slots_r02,experiment_a_parallel4,2,unique,100,static,8,RUNNING,c7519eeb-2562-4cdc-8b02-e35824ba565b,unique_static_8slots,COMPLETED,100,100,109922.09,91347.0,256851.0,276621.0,0.36083627414896763,0.0,94903.46,1776137998422,1776138276055,278.846,static,8,static,8,RUNNING,0,0,experiment_results/expa_parallel4_20260414T031310Z/runs/006_experiment_a_parallel4_unique_static_8slots_r02.json
7,007_experiment_a_parallel4_unique_continuous_8slots_r02,experiment_a_parallel4,2,unique,100,continuous,8,RUNNING,c26a1356-126e-4554-8b0b-927d85c24aed,unique_continuous_8slots,COMPLETED,100,100,103438.39,84465.0,244511.0,260207.0,0.38220163429418824,0.0,83427.98,1776138280118,1776138542052,264.469,continuous,8,continuous,8,RUNNING,0,0,experiment_results/expa_parallel4_20260414T031310Z/runs/007_experiment_a_parallel4_unique_continuous_8slots_r02.json
8,008_experiment_a_parallel4_unique_cached_8slots_r02,experiment_a_parallel4,2,unique,100,cached,8,RUNNING,ab105096-b4fb-481b-91d1-1dd8f6bf7957,unique_cached_8slots,COMPLETED,100,100,103607.4,85329.0,241993.0,253105.0,0.3873071694430136,0.0,83782.14,1776138547887,1776138806568,260.663,cached,8,cached,8,RUNNING,0,0,experiment_results/expa_parallel4_20260414T031310Z/runs/008_experiment_a_parallel4_unique_cached_8slots_r02.json
9,009_experiment_a_parallel4_unique_sequential_1slots_r03,experiment_a_parallel4,3,unique,100,sequential,1,RUNNING,52a0b5eb-721c-4f51-a960-f0721b131f6e,unique_sequential_1slots,COMPLETED,100,100,185765.65,150721.0,442593.0,467582.0,0.20991160622261965,0.0,181007.11,1776138811587,1776139288506,477.963,sequential,1,sequential,1,RUNNING,0,0,experiment_results/expa_parallel4_20260414T031310Z/runs/009_experiment_a_parallel4_unique_sequential_1slots_r03.json
10,010_experiment_a_parallel4_unique_static_8slots_r03,experiment_a_parallel4,3,unique,100,static,8,RUNNING,0f210add-318c-4b41-a275-e90626c2aa46,unique_static_8slots,COMPLETED,100,100,131508.27,106984.0,323641.0,343954.0,0.29035161580674196,0.0,112910.52,1776139292556,1776139637415,347.216,static,8,static,8,RUNNING,0,0,experiment_results/expa_parallel4_20260414T031310Z/runs/010_experiment_a_parallel4_unique_static_8slots_r03.json
11,011_experiment_a_parallel4_unique_continuous_8slots_r03,experiment_a_parallel4,3,unique,100,continuous,8,RUNNING,97040983-ed70-41d0-a56f-58c41621eb79,unique_continuous_8slots,COMPLETED,100,100,115239.25,93553.0,275669.0,296036.0,0.33553556509222193,0.0,92523.7,1776139642875,1776139940965,300.885,continuous,8,continuous,8,RUNNING,0,0,experiment_results/expa_parallel4_20260414T031310Z/runs/011_experiment_a_parallel4_unique_continuous_8slots_r03.json
12,012_experiment_a_parallel4_unique_cached_8slots_r03,experiment_a_parallel4,3,unique,100,cached,8,RUNNING,a07005a1-a5c1-4243-ad00-0779251c6cc8,unique_cached_8slots,COMPLETED,100,100,122549.43,102605.0,286778.0,307307.0,0.3246289491111659,0.0,98990.92,1776139946831,1776140255069,310.959,cached,8,cached,8,RUNNING,0,0,experiment_results/expa_parallel4_20260414T031310Z/runs/012_experiment_a_parallel4_unique_cached_8slots_r03.json
